勤め先会社名,提携窓口会社名,対象確認方法,紹介状提出期限,特典率,手数料率,対象者,連絡先,連絡先②,担当名
塩野プレシジョン,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-5008,,小林・竹内・松田・五十嵐
永大産業健康保険組合,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
栄和リサイクル,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
栄光学園中学高等学校,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
荏原製作所,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
浦添市職員厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
浦安清運,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
浦安工業,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
羽曳野市職員福利厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
宇部マクセル京都,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
宇都宮防衛事務所,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4172,,佐藤
宇宙航空研究開発機構共済会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
宇宙航空研究開発機構,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
茨城テクノス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
壱番屋,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
一般社団法人浜松市医師会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般社団法人姫路市医師会,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
一般社団法人近畿建設協会,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
一般社団法人宮崎市職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般社団法人パブリックサービス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般社団法人SGHふぁみりー共済会,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4758,,小林・竹内・松田・五十嵐
一般財団法人北海道電気保安協会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人防衛弘済会,コーサイ・サービス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5315-4171,,佐藤
一般財団法人豊岡病院組合互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人兵庫県職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人脳神経疾患研究所,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人尼崎市職員厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人道路厚生会（東日本）,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人道路厚生会（中日本）,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人道路厚生会（西日本）,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人中国電気保安協会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人西宮市職員自治振興会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人阪大微生物病研究会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人工業所有権協力センター,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人沖縄県警察共助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
一般財団法人ＫＤＤＩグループ共済会,一般財団法人ＫＤＤＩグループ共済会,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5212-4120,090-8208-4252,上野　恵里
一橋病院訪問看護ステーション,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4973,,小林・竹内・松田・五十嵐
一橋病院,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4927,,小林・竹内・松田・五十嵐
井田コーポレーション,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人和光会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人伯鳳会職員会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人内海慈仁会,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
医療法人青仁会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人社団奉志会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人社団福寿会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人社団総生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人社団済安堂 井上眼科病院,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
医療法人社団 淡路平成会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人社団 大和会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人渓仁会 札幌西円山病院,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人杏園会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人ハートフル,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人 平成博愛会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人 康生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
医療法人 恵泉会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
伊藤忠食品,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
伊丹市職員厚生会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
杏嶺会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
杏林堂薬局,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4868,,小林・竹内・松田・五十嵐
安部日鋼工業,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
芦屋浄水,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
芦屋市職員互助会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
旭鍍金工業,株式会社パナソニック共済会,紹介カード受領,購入申込,0.005,0.005,関連会社従業員及びＯＢ,050-3164-0052,,吉久 紀子 yoshihisa.noriko@jp.panasonic.com
旭食品,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
旭化成不動産レジデンス,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
旭化成パックス,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
旭化成アドバンス,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
愛知県厚生農業協同組合連合会労働組合,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
愛知県経済農業協同組合連合会,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
愛知ニコン,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-5062,,小林・竹内・松田・五十嵐
ワンビシアーカイブズ,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ワンスカイ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4572,,小林・竹内・松田・五十嵐
わらべや日洋ホールディングス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ワコール労働組合,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ワイヤーアクション,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4571,,小林・竹内・松田・五十嵐
ワイヤ・アンド・ワイヤレス,一般財団法人ＫＤＤＩグループ共済会,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-5212-4120,090-8208-4252,上野　恵里
ワイイーシーソリューションズ,NECビジネスインテリジェンス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-3455-1136,,加藤
ワールドレジデンシャル,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4794,,小林・竹内・松田・五十嵐
ワールドリゾートオペレーション,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ワールドミクニ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4801,,小林・竹内・松田・五十嵐
ワールドホールディングス,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4783,,小林・竹内・松田・五十嵐
ワールドネクスト,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4787,,小林・竹内・松田・五十嵐
ワールドスタッフィング,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4785,,小林・竹内・松田・五十嵐
ワールドサプライ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4743,,小林・竹内・松田・五十嵐
ワールドコンストラクション,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4786,,小林・竹内・松田・五十嵐
ワールドウィステリアホームズ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4796,,小林・竹内・松田・五十嵐
ワールドインテック,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4784,,小林・竹内・松田・五十嵐
ワールドアセットマネジメント,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4810,,小林・竹内・松田・五十嵐
ワールドアイシティ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4795,,小林・竹内・松田・五十嵐
ワーデン,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ロボットエンジニアリング,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ロフト,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4684,,小林・竹内・松田・五十嵐
ロックペイント,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ロック・フィールド,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ロジパルエクスプレス,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ロジスティックスオペレーションサービス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ロジスティード北日本,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティード南関東,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティード東日本流通サービス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティード東日本,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティード中部,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティード西日本,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティード首都圏,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティード九州,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティード関東,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティードソリューションズ,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティードコラボネクスト,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティードケミカル,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティードエクスプレス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジスティード,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ロジコ,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ロケーションバリュー,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ローラアシュレイジャパン,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ロイヤルパークホテル,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
レバレジーズ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
レノボジャパン,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4602,,小林・竹内・松田・五十嵐
レデイ薬局,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4867,,小林・竹内・松田・五十嵐
レゾナック電子材料九州,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック研装,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック建材,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナックユニバーサル,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナックHD山形,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック・ホールディングス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック・ビジネスサービス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック・パッケージング,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック・テクノサービス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック・セラミックス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック・グラファイト・ジャパン,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック・ガスプロダクツ,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック・オートモーティブプロダクツ,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック・アプライドカーボン,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レゾナック,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
レスターホールディングス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
レジナス化成,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7596,,飯野
レコチョク,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
レールテック,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ルネサスエンジニアリングサービス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ルネサスエレクトロニクス,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ルネサス セミコンダクタ マニュファクチュアリング,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ルイ・ヴィトン・ジャパン,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-5064,,小林・竹内・松田・五十嵐
リンベル,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4728,,小林・竹内・松田・五十嵐
リロホールディング,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リロフィナンシャルソリューションズ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リロバケーションズ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リロケーションジャパン,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リロケーションインターナショナル,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リロクリエイト,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リロクラブ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リロエステート,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リロエクセル,株式会社パナソニック共済会,紹介カード受領,購入申込,0.005,0.005,関連会社従業員及びＯＢ,050-3164-0052,,吉久 紀子 yoshihisa.noriko@jp.panasonic.com
リョーサン,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リュクスジャパン,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
リベラル,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
リビング百十番ドットコム,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
リバンスネット,NECビジネスインテリジェンス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-3455-1136,,加藤
リハーツ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
リテックエンジニアリング,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
リップル,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
りそなビジネスサービス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
りそなグループ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
リガク,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ランドスケープデザイン,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ランテック,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ラフ＆ピースマザー,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
らでぃっしゅぼーや,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ラディックス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ラック,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4672,,小林・竹内・松田・五十嵐
ラカルト,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
